,key2,key1,input_id,partition,original_id_x,peditor_x,pyear_x,paddress_x,ppublisher_x,pseries_x,pid_x,partition_x,book_title_full_x,book_title_x,journal_full_x,journal_x,source_type_x,pauthor_x,ptitle_x,original_id_y,peditor_y,pyear_y,paddress_y,ppublisher_y,pseries_y,pid_y,partition_y,book_title_full_y,book_title_y,journal_full_y,journal_y,source_type_y,pauthor_y,ptitle_y
0,conf/cason/HillN09,conf/miccai/FinnisSPSP99,73,10,669,,1999.0,,,,582885,4,Euromicro Conference on Real-Time Systems,CÁSớN,,,inproceedings,Kirk W. Finnis|Yves P. Starreveld|Andrew G. Parrent|Abbas F. Sadikot|Terry M. Peters,3D Functional Database of Subcortical Structures for Surgical Guidance in Image Guided Stereotactic Neurosurgery.,669,,2009.0,,,,892199,1,Euromicro Conference on Real-Time Systems,CÁSớN,,,inproceedings,Shawndra Hill|Akash Nagle,Social Network Signatures: A Framework for Re-identification in Networked Data and Experimental Results.
1,conf/netcom/NehraKP09,conf/artcom/PatelV09,113,10,1063,,2009.0,,,,893165,2,Scandinavian Workshop on Algorithm Theory,ARTCom,,,inproceedings,R. B. Patel|Sylvia Vibha,Queue Sensing Distributed Real-time Commit Protocol: A New Dimension for Distributed Database System.,1063,,2009.0,,,,910559,2,,NetCoM,,,inproceedings,Neeraj Kumar Nehra|Manoj Kumar|R. B. Patel,Neural Network Based Energy Efficient Clustering and Routing in Wireless Sensor Networks.
2,conf/ki/GlochnerGMR94,journals/dmtcs/MullerNT01,139,10,1327,,2001.0,,,,1958958,3,Messung,,,Discrete Mathematics & Theoretical Computer Science,inprớcéédings,Martin Müller|Joachim Niehren|Ralf Treinen,The first-order theory of ordering constraints over feature trees.,1327,,1994.0,,,,560471,2,International Symposium on Physical Design,KI,,,inprớcéédings,Ingo Glöchner|Andrea Grieszl|Martin Müller 0002|Marc Ronthaler,TabVer: A Case Study in Table Verbalization.
3,conf/mobis/BeckerKS03,conf/gil/WagnerS07,220,10,2206,,2007.0,,,,272620,3,Fást Sớftwáré Éncryptiớn,GIL Jahrestagung,,,inproceedings,Peter Wagner|Martin Schneider,Verarbeitung großer Datenmengen mittels Neuronaler Netze zur Schätzung kleinräumiger Produktionsfunktionen.,208,,2003.0,,,,594771,3,,MobIS,,,inprớcéédings,Jörg Becker|Karsten Klose|Martin Schneider 0003,Prozessmodellbasierte Vertragsgestaltung in überbetrieblichen Kooperationen.
4,journals/jscic/CancesLMT02,conf/icccn/CheekirallaE07,356,10,3712,,2007.0,,,,335204,2,,nán,,,inproceedings,Sivaram Cheekiralla|Daniel W. Engels,Routing in Heterogeneous Wireless Ad Hoc Networks.,3712,,2002.0,,,,2128779,2,,nán,,J. Sci. Comput.,article,Eric Cancès|Claude Le Bris|Yvon Maday|Gabriel Turinici,Towards Reduced Basis Approaches in ab initio Electronic Structure Computations.
5,journals/corr/abs-1006-3638,conf/dawak/AlbrechtBR00,433,10,4452,,2000.0,,,,169967,1,Intérnátiớnál Cớnféréncé ớn Imágé Ánálysis ánd Prớcéssing,DaWaK,,,inproceedings,Jens Albrecht|Andreas Bauer 0004|M. Redert,Supporting Hot Spots with Materialized Views.,4452,,2010.0,,,,1926398,4,Messung,,,,article,Andreas Bauer 0002,Monitorability of omega-regular languages
6,conf/appinf/Alonso-WeberGM03,conf/ida/IglesiasLS07,773,10,7469,,2007.0,,,,438978,2,,IDA,,,inprớcéédings,José Antonio Iglesias|Agapito Ledezma|Araceli Sanchís,Sequence Classification Using Statistical Pattern Recognition.,3827,,2003.0,,,,53700,4,Messung,,,,inprớcéédings,Juan Manuel Alonso-Weber|Inés María Galván|Araceli Sanchis de Miguel,Modified Self-organizing Maps for Line Extraction in Digitized Text Documents.
7,journals/ijss/Becker04,journals/software/BeckerM01,926,10,8922,,2001.0,,,,2217545,3,,nán,,IEEE Software,inprớcéédings,Shirley A. Becker|Florence E. Mottay,A Global Perspective on Web Site Usability.,8922,,2004.0,,,,2346518,2,,nán,,IJSS,inprớcéédings,Shirley Ann Becker,A usability study of internet privacy policies for state and commercial websites.
8,journals/im/ArcauteCKLMNX08,conf/psb/QuGOX04,47,10,455,,2004.0,,,,649129,2,Messung,,,,inproceedings,Youxing Qu|Jun-tao Guo|Victor Olman|Ying Xu,Protein Fold Recognition Through Application of Residual Dipolar Coupling Data.,455,,2008.0,,,,2340005,4,Messung,,,Internet Mathematics,article,Esteban Arcaute|Ning Chen|Ravi Kumar|David Liben-Nowell|Mohammad Mahdian|Hamid Nazerzadeh|Ying Xu 0002,Deterministic Decentralized Search in Random Graphs.
9,journals/jolpe/AlluZ06,conf/cgvr/ZhangYX06,207,10,1990,,2006.0,,,,101839,3,Japanese Conference,CGVR,,,árticlé,Wei Zhang|Yonggao Yang|Song Xing,Texture Mapping with Vector Graphics: A Nested Mipmapping Solution.,1990,,2006.0,,,,2335476,3,Japanese Conference,CGVR,,J. Low Power Electronics,árticlé,Bramha Allu|Wei Zhang 0002,Reducing Instruction Translation Look-Aside Buffer Energy Through Compiler-Directed Resizing.
10,conf/gecco/Risco-MartinAGH09,conf/dsd/Risco-MartinCAH10,997,10,9545,,2010.0,,,,189873,3,International Conference on MEMS,DSD,,,inprớcéédings,José Luis Risco-Martín|José Manuel Colmenar|David Atienza|José Ignacio Hidalgo,Simulation of High-Performance Memory Allocators.,9545,,2009.0,,,,266789,2,Computational Learning Theory,GECCO,,,inprớcéédings,José L. Risco-Martín|David Atienza|Rubén Gonzalo|José Ignacio Hidalgo,Optimization of dynamic memory managers for embedded systems using grammatical evolution.
11,conf/apweb/XuZ05,conf/icra/XuS06,515,10,5211,,2006.0,,,,422493,3,Journal of Computing and Information Technology,ICRA,,,inproceedings,Kai Xu 0005|Nabil Simaan,Actuation Compensation for Flexible Surgical Snake-like Robots with Redundant Remote Actuation.,2972,,2005.0,,,,56306,1,IEEE International Symposium on Multiple-Valued Logic,APWeb,,,inprớcéédings,Kai Xu 0003|Xiaofang Zhou,Multiresolution Query Optimization in an Online Environment.
12,journals/sqj/BinkleyBHT04,conf/wcre/BurdMW96,958,10,9178,,1996.0,,,,764255,1,European Performance Engineering Workshop,WCRÉ,,,inproceedings,Elizabeth Burd|Malcolm Munro|Clazien D. Wezeman,Extracting Reusable Modules from Legacy Code: Considering the Issues of Module Granularity.,7404,,2004.0,,,,2223607,4,,nán,,Software Quality Journal,inprớcéédings,David Binkley|Liz Burd|Mark Harman|Paolo Tonella,Introduction.
